rank,catchment_code,catchment_name,state,dpa_gp_status_2025,opportunity_score,need_index,population_latest,population_growth_1y_pct,median_age,median_household_income_weekly,seifa_irsd_score_2021,sa2_code,sa2_name
62,GP5082,Pemberton,WA,Y,88.28,0.7396,5571,1.679,53,1112,987,501031020,Pemberton
63,GP6009,Cygnet,TAS,Y,88.27,0.7393,5145,1.6,49,1077,968,603021070,Cygnet
64,GP2086,Marysville,VIC,Y,88.18,0.7374,251,1.619,43,900,916,204011061,Upper Yarra Valley
65,GP3095,Millmerran,QLD,Y,88.11,0.7357,3328,1.34,47,1200,909,307021181,Millmerran
66,GP2145,Wonthaggi,VIC,Y,88.1,0.7356,28798,1.929,51,1154,986,205031093,Wonthaggi - Inverloch
67,GP1080,Forster - Tuncurry,NSW,Y,88.05,0.7344,7219,1.291,53,1142,976,108011153,Forster-Tuncurry Surrounds
68,GP3039,Cleveland - Stradbroke,QLD,Y,88.03,0.734,2261,1.481,52,1147,978,301021550,North Stradbroke Island
69,GP4092,Yankalilla,SA,Y,88.02,0.7338,6874,1.178,56,1082,984,407011149,Yankalilla
70,GP5101,Waroona,WA,Y,87.95,0.7323,4537,1.795,48,1312,936,501021016,Waroona
71,GP5040,Gin Gin - Lancelin,WA,Y,87.88,0.7307,10269,4.551,50,1321,983,509021239,Gingin - Dandaragan
72,GP5067,Moora,WA,Y,87.88,0.7307,10269,4.551,50,1321,983,509021239,Gingin - Dandaragan
73,GP1028,Bonalbo,NSW,Y,87.84,0.7297,7577,1.283,48,1147,943,112021245,Casino Surrounds
74,GP1048,Casino,NSW,Y,87.84,0.7297,7577,1.283,48,1147,943,112021245,Casino Surrounds
75,GP3053,Esk,QLD,Y,87.84,0.7297,5210,0.327,55,1021,940,310021278,Esk
76,GP2114,Rushworth,VIC,Y,87.78,0.7284,4210,0.549,52,1072,941,216011410,Rushworth
77,GP4005,Ardrossan,SA,Y,87.67,0.7261,7719,0.442,57,1003,955,405041127,Yorke Peninsula - North
78,GP4040,Maitland (SA),SA,Y,87.67,0.7261,7719,0.442,57,1003,955,405041127,Yorke Peninsula - North
79,GP4046,Minlaton,SA,Y,87.67,0.7261,7719,0.442,57,1003,955,405041127,Yorke Peninsula - North
80,GP6007,Campbell Town,TAS,Y,87.61,0.7246,3859,1.021,47,1046,933,602031061,Northern Midlands
81,GP6031,Longford,TAS,Y,87.61,0.7246,3859,1.021,47,1046,933,602031061,Northern Midlands
82,GP3156,Warwick,QLD,Y,87.58,0.724,4594,1.93,51,1244,979,307031185,Southern Downs - East
83,GP3066,Gympie,QLD,Y,87.53,0.7229,22330,2.558,48,1292,964,319031514,Gympie Surrounds
